Tipo de Sentimento,Comentário,Classificação
Positivo,"Excelente atendimento na urgência pediátrica. Apesar de muita gente, fomos atendidos em menos de 1 hora e com muita simpatia.",Urgências Hospitalares
Positivo,"O Dr. Rafael foi incrível, explicou tudo com calma, tirou todas as dúvidas e ainda ligou no dia seguinte a perguntar como eu estava.",Atendimento Hospitalar
Positivo,"Fiz uma cirurgia de emergência e toda a equipa foi fantástica desde o internamento até à alta. Muito obrigada!",Cirurgia
Positivo,"As enfermeiras do internamento são anjos. Cuidaram da minha mãe como se fosse família.",Internamento
Positivo,"Marquei consulta online às 23h e no dia seguinte já tinha hora. Serviço espectacular.",Marcação de Consultas
Positivo,"Sempre que vou ao Hospital da Luz sinto-me tratado como pessoa e não como número. Recomendo a 100%.",Atendimento Hospitalar
Positivo,"Instalações impecáveis, tudo muito limpo e organizado. Parece um hotel de luxo.",Instalações
Positivo,"Resultados dos exames apareceram na app em menos de 24h. Muito prático!",Exames Médicos
Positivo,"Equipe de obstetrícia maravilhosa. O meu parto foi tranquilo e senti-me super acompanhada.",Obstetrícia
Positivo,"O call center atendeu-me em menos de 1 minuto e resolveram tudo com muita simpatia.",Call Center
Positivo,"Fiz uma ressonância e o técnico foi super cuidadoso e explicava tudo o que estava a fazer.",Exames Médicos
Positivo,"Muito grato ao Dr. João Gonçalves por ter resolvido o meu problema de coluna depois de anos de dores.",Atendimento Hospitalar
Positivo,"As auxiliares são extremamente atenciosas, ajudam com cadeiras de rodas e sorrisos o tempo todo.",Atendimento Hospitalar
Positivo,"Fui operado ao joelho e a recuperação foi muito mais rápida do que esperava graças ao acompanhamento.",Cirurgia
Positivo,"O Hospital da Luz salvou a vida do meu filho. Não tenho palavras para agradecer à equipa da pediatria.",Pediátrico
Positivo,"Consulta começou à hora exacta. Nunca esperei mais de 5 minutos.",Atendimento Hospitalar
Positivo,"Adoro a aplicação do Hospital da Luz. Tudo lá: marcações, resultados, facturas.",Aplicação
Positivo,"Fiz colonoscopia e toda a equipa foi muito profissional e delicada.",Exames Médicos
Positivo,"As enfermeiras do bloco operatório são incríveis, acalmam-nos mesmo nos momentos de maior ansiedade.",Cirurgia
Positivo,"Muito satisfeito com o serviço de cardiologia. Os melhores médicos de Lisboa.",Cardiologia
Positivo,"Fui muito bem recebido na urgência às 3h da manhã. Atendimento rápido e humano.",Urgências Hospitalares
Positivo,"O hospital tem estacionamento fácil e barato. Ponto muito positivo.",Estacionamento
Positivo,"Fiz uma cesariana e o pós-parto foi acompanhado com muito cuidado e carinho.",Obstetrícia
Positivo,"O Dr. Miguel Almeida diagnosticou rápido e acertou em cheio. Excelente profissional.",Atendimento Hospitalar
Positivo,"Toda a equipa de oncologia é fantástica. Tratam-nos com respeito e esperança.",Oncologia
Positivo,"Fiz fisioterapia no hospital e melhorei imenso. Os fisioterapeutas são tops.",Fisioterapia
Positivo,"O café da entrada é ótimo e os preços são normais. Dá para esperar confortavelmente.",Cafeteria
Positivo,"Recebi SMS e email a lembrar a consulta. Muito útil.",Marcação de Consultas
Positivo,"As salas de espera são confortáveis e têm Wi-Fi grátis.",Instalações
Positivo,"Fiz análises e nem senti a picada. Enfermeira muito boa.",Análises
Positivo,"O Hospital da Luz Oeiras é o meu preferido. Sempre bem atendido.",Instalações
Positivo,"Fui acompanhado desde o diagnóstico até à cirurgia. Continuidade de cuidados excelente.",Atendimento Hospitalar
Positivo,"Muito satisfeito com o serviço de ortopedia. Voltaria sem dúvida.",Ortopedia
Positivo,"As recepcionistas são sempre simpáticas e prestáveis.",Recepção
Positivo,"Fiz uma endoscopia e dormi o tempo todo. Acordei bem e sem dores.",Exames Médicos
Positivo,"O pediatra do meu filho é espectacular. Sempre disponível e atencioso.",Pediátrico
Positivo,"Fui operada à vesícula e no dia seguinte já estava em casa. Recuperação excelente.",Cirurgia
Positivo,"O hospital tem uma farmácia 24h muito útil.",Farmácia
Positivo,"Muito grato à equipa de neurologia por terem resolvido as minhas enxaquecas.",Neurologia
Positivo,"Fiz TAC e o resultado saiu no mesmo dia. Rápido e eficiente.",Exames Médicos
Positivo,"O ambiente é calmo e transmite confiança.",Instalações
Positivo,"Fui tratado com muito respeito e dignidade mesmo na urgência.",Urgências Hospitalares
Positivo,"A Dra. Natacha fez a minha cirurgia e foi fantástica. Explicou tudo muito bem.",Cirurgia
Positivo,"Os seguranças são muito educados e ajudam com as malas se necessário.",Atendimento Hospitalar
Positivo,"Fiz uma consulta de dermatologia e saí com o problema resolvido na hora.",Dermatologia
Positivo,"O hospital aceita o meu seguro e tudo é comparticipado. Excelente.",Seguros
Positivo,"Fui muito bem atendido no serviço de otorrinolaringologia.",Otorrino
Positivo,"As camas do internamento são confortáveis e os quartos muito limpos.",Internamento
Positivo,"O Dr. Carlos Braga é o melhor pediatra que o meu filho já teve.",Pediátrico
Positivo,"Fiz raio-X e nem 10 minutos depois já tinha o resultado.",Exames Médicos
Positivo,"Toda a equipa sorri e transmite boa energia.",Atendimento Hospitalar
Positivo,"O hospital tem uma capela para quem precisa de um momento de silêncio.",Instalações
Positivo,"Fui operado de urgência e salvaram-me a vida. Eterno obrigado.",Urgências Hospitalares
Positivo,"A comida do internamento é surpreendentemente boa.",Internamento
Positivo,"Fiz ecografia e a médica foi muito cuidadosa e explicou tudo o que via.",Exames Médicos
Positivo,"O check-in nas máquinas é rápido e prático.",Check-in
Positivo,"Fui acompanhado por uma psicóloga durante o internamento. Muito importante.",Saúde Mental
Positivo,"O hospital tem quartos individuais espaçosos e com vista.",Internamento
Positivo,"Fiz uma consulta de oftalmologia e saí com óculos novos no mesmo dia.",Oftalmologia
Positivo,"Os auxiliares de ação médica são muito prestáveis.",Atendimento Hospitalar
Positivo,"Fui muito bem recebido no serviço de ginecologia.",Ginecologia
Positivo,"O hospital tem uma loja com produtos úteis para doentes.",Instalações
Positivo,"Fiz uma consulta de urologia e o médico foi muito profissional.",Urologia
Positivo,"A limpeza é impecável em todo o lado.",Higiene
Positivo,"Fui operado às amígdalas e a recuperação foi ótima.",Cirurgia
Positivo,"O hospital tem um serviço de transporte para doentes com mobilidade reduzida.",Acessibilidade
Positivo,"Fiz uma consulta de pneumologia e saí com o tratamento certo.",Pneumologia
Positivo,"As enfermeiras do turno da noite são incansáveis.",Internamento
Positivo,"O hospital tem uma área de brincar para crianças na pediatria.",Pediátrico
Positivo,"Fiz uma gastroscopia e tudo correu muito bem.",Exames Médicos
Positivo,"O Dr. Pereira Coutinho é um excelente ortopedista.",Ortopedia
Positivo,"Fui muito bem atendido no serviço de reumatologia.",Reumatologia
Positivo,"O hospital tem Wi-Fi rápido e grátis em todo o lado.",Instalações
Positivo,"Fiz uma consulta de endocrinologia e finalmente resolveram o meu problema.",Endocrinologia
Positivo,"As rececionistas falam várias línguas. Muito útil para estrangeiros.",Recepção
Positivo,"Fui operado à catarata e no dia seguinte já via perfeitamente.",Cirurgia
Positivo,"O hospital tem um serviço de apoio ao utente excelente.",Atendimento Hospitalar
Positivo,"Fiz uma consulta de psicologia e senti-me muito acolhido.",Saúde Mental
Positivo,"Os elevadores são rápidos e nunca estão cheios.",Instalações
Positivo,"Fui muito bem atendido no serviço de nefrologia.",Nefrologia
Positivo,"O hospital tem uma equipa de nutrição fantástica.",Nutrição
Positivo,"Fiz uma consulta de medicina interna e saí com tudo resolvido.",Medicina Interna
Positivo,"As salas de exames são modernas e confortáveis.",Exames Médicos
Positivo,"Fui operado ao nariz e respiração melhorou 100%.",Cirurgia
Positivo,"O hospital tem um serviço de hemodiálise excelente.",Hemodiálise
Positivo,"Fiz uma consulta de gastrenterologia e o médico foi muito atencioso.",Gastrenterologia
Positivo,"Os quartos têm TV e isso ajuda a passar o tempo no internamento.",Internamento
Positivo,"Fui muito bem atendido no serviço de hematologia.",Hematologia
Positivo,"O hospital tem uma equipa de anestesistas fantástica.",Anestesia
Positivo,"Fiz uma consulta de medicina física e reabilitação excelente.",Reabilitação
Positivo,"As enfermeiras explicam tudo sobre a medicação.",Enfermagem
Positivo,"Fui operado à próstata e recuperação foi rápida.",Cirurgia
Positivo,"O hospital tem um serviço de imagiologia de ponta.",Imagiologia
Positivo,"Fiz uma consulta de infectologia e saí mais tranquilo.",Infectologia
Positivo,"Os médicos têm tempo para ouvir os doentes.",Atendimento Hospitalar
Positivo,"Fui muito bem atendido no serviço de proctologia.",Proctologia
Positivo,"O hospital tem uma equipa de estomatologia excelente.",Estomatologia
Positivo,"Fiz uma consulta de angiologia e vascular muito boa.",Angiologia
Positivo,"As análises são feitas com material descartável de qualidade.",Análises
Positivo,"Fui operado ao túnel cárpico e mão ficou perfeita.",Cirurgia
Positivo,"O hospital tem um serviço de radiologia intervencionista top.",Radiologia
Positivo,"Fiz uma consulta de imunologia e finalmente descobriram o problema.",Imunologia
Positivo,"Os doentes oncológicos são tratados com muito carinho.",Oncologia
Positivo,"Fui muito bem atendido no serviço de medicina tropical.",Medicina Tropical
Positivo,"O hospital tem uma equipa de cirurgia plástica excelente.",Cirurgia Plástica
Positivo,"Fiz uma consulta de neurocirurgia e saí mais descansado.",Neurocirurgia
Positivo,"As consultas de follow-up são pontuais.",Atendimento Hospitalar
Positivo,"Fui operado à hérnia discal e voltei a andar sem dores.",Cirurgia
Positivo,"O hospital tem um serviço de medicina do viajante muito útil.",Medicina do Viajante
Positivo,"Fiz uma consulta de cirurgia vascular excelente.",Cirurgia Vascular
Positivo,"Os médicos explicam os exames com calma.",Atendimento Hospitalar
Positivo,"Fui muito bem atendido no serviço de cirurgia maxilo-facial.",Cirurgia Maxilo-Facial
Positivo,"O hospital tem uma equipa de pedopsiquiatria fantástica.",Pedopsiquiatria
Positivo,"Fiz uma consulta de medicina estética e fiquei super satisfeito.",Medicina Estética
Positivo,"As vacinas são aplicadas com muito cuidado.",Vacinação
Positivo,"Fui operado às varizes e pernas ficaram ótimas.",Cirurgia
Positivo,"O hospital tem um serviço de check-up completo excelente.",Check-up
Positivo,"Fiz uma consulta de sexologia e senti-me muito à vontade.",Sexologia
Positivo,"Os relatórios médicos são detalhados e claros.",Relatórios
Positivo,"Fui muito bem atendido no serviço de medicina dentária.",Medicina Dentária
Positivo,"O hospital tem uma equipa de ortodontia excelente.",Ortodontia
Positivo,"Fiz uma consulta de implantologia e correu tudo bem.",Implantologia
Positivo,"As limpezas dentárias são feitas com muita suavidade.",Medicina Dentária
Positivo,"Fui operado aos dentes do siso e recuperação foi rápida.",Cirurgia Oral
Positivo,"O hospital tem um serviço de periodontologia top.",Periodontologia
Positivo,"Fiz uma consulta de endodontia excelente.",Endodontia
Positivo,"Os aparelhos dentários são de última geração.",Ortodontia
Positivo,"Fui muito bem atendido no serviço de próteses dentárias.",Próteses
Positivo,"O hospital tem uma equipa de odontopediatria fantástica.",Odontopediatria
Positivo,"Fiz uma consulta de estética dentária e sorriso ficou perfeito.",Estética Dentária
Positivo,"As rececionistas da clínica dentária são muito simpáticas.",Recepção
Positivo,"Fui operado à articulação temporo-mandibular e melhorei imenso.",Cirurgia
Positivo,"O hospital tem um serviço de radiologia dentária digital.",Imagiologia
Positivo,"Fiz uma consulta de halitose e resolveram o problema.",Medicina Dentária
Positivo,"Os branqueamentos dentários são seguros e eficazes.",Estética Dentária
Positivo,"Fui muito bem atendido no serviço de ortopedia dento-facial.",Ortopedia Dento-Facial
Positivo,"O hospital tem uma equipa de dentisteria conservadora excelente.",Dentisteria
Positivo,"Fiz facetas dentárias e ficaram naturais.",Estética Dentária
Positivo,"As consultas de revisão são gratuitas no primeiro ano.",Medicina Dentária
Positivo,"Fui operado a um quisto dentário e correu tudo bem.",Cirurgia Oral
Positivo,"O hospital tem um serviço de sedação para doentes ansiosos.",Sedação
Positivo,"Fiz uma consulta de prótese sobre implantes excelente.",Implantologia
Positivo,"Os preços são justos para a qualidade oferecida.",Preços
Positivo,"Fui muito bem atendido em todos os serviços que utilizei.",Atendimento Hospitalar
Positivo,"O hospital tem uma equipa multidisciplinar fantástica.",Equipas
Positivo,"Fiz vários exames no mesmo dia. Muito organizado.",Exames Médicos
Positivo,"Os médicos trabalham em equipa e isso nota-se nos resultados.",Atendimento Hospitalar
Positivo,"Fui acompanhado desde o diagnóstico até à cura completa.",Continuidade de Cuidados
Positivo,"O hospital tem protocolos atualizados e segue as melhores práticas.",Qualidade
Positivo,"Fiz uma consulta em telemedicina e correu muito bem.",Telemedicina
Positivo,"Os doentes crónicos têm planos de acompanhamento personalizados.",Doenças Crónicas
Positivo,"Fui muito bem atendido no serviço de medicina do trabalho.",Medicina do Trabalho
Positivo,"O hospital tem acordos com quase todas as seguradoras.",Seguros
Positivo,"Fiz uma consulta de medicina desportiva excelente.",Medicina Desportiva
Positivo,"As instalações desportivas para reabilitação são ótimas.",Reabilitação
Positivo,"Fui operado por técnica minimamente invasiva. Recuperação rapidíssima.",Cirurgia
Positivo,"O hospital tem um serviço de urgência 24h sempre disponível.",Urgências Hospitalares
Positivo,"Fiz uma consulta de medicina geral e familiar muito boa.",Medicina Geral
Positivo,"Os médicos de família conhecem bem o historial dos doentes.",Medicina Familiar
Positivo,"Fui muito bem atendido no serviço de saúde oral.",Saúde Oral
Positivo,"O hospital tem uma equipa de enfermagem altamente qualificada.",Enfermagem
Positivo,"Fiz uma consulta de podologia e saí a andar sem dores.",Podologia
Positivo,"As massagens de reabilitação são feitas por profissionais excelentes.",Reabilitação
Positivo,"Fui operado ao ombro e voltei a jogar ténis em 3 meses.",Cirurgia
Positivo,"O hospital tem um ginásio de reabilitação fantástico.",Reabilitação
Positivo,"Fiz uma consulta de osteopatia e melhorei imenso.",Osteopatia
Positivo,"Os tratamentos de fisioterapia são personalizados.",Fisioterapia
Positivo,"Fui muito bem atendido no serviço de terapia da fala.",Terapia da Fala
Positivo,"O hospital tem uma piscina para hidroterapia.",Reabilitação
Positivo,"Fiz terapia ocupacional e recuperei a autonomia.",Terapia Ocupacional
Positivo,"As consultas de psicologia infantil são excelentes.",Psicologia Infantil
Positivo,"Fui acompanhado por um psiquiatra muito humano.",Psiquiatria
Positivo,"O hospital tem um serviço de neuropsicologia top.",Neuropsicologia
Positivo,"Fiz uma consulta de hipnoterapia e ajudou muito na ansiedade.",Hipnoterapia
Positivo,"Os grupos de apoio para doentes oncológicos são muito importantes.",Apoio Psicológico
Positivo,"Fui muito bem atendido no serviço de medicina chinesa.",Medicina Chinesa
Positivo,"O hospital tem um espaço de meditação e relaxamento.",Bem-estar
Positivo,"Fiz acupuntura e as dores desapareceram.",Acupuntura
Positivo,"As aulas de yoga para grávidas são ótimas.",Gravidez
Positivo,"Fui acompanhado por uma doula durante o parto.",Parto
Positivo,"O hospital tem um banco de leite materno.",Maternidade
Positivo,"Fiz um curso de preparação para o parto excelente.",Preparação Parto
Positivo,"As consultas de planeamento familiar são muito completas.",Planeamento Familiar
Positivo,"Fui muito bem atendido no serviço de infertilidade.",Fertilidade
Positivo,"O hospital tem uma unidade de neonatologia de excelência.",Neonatologia
Positivo,"Fiz uma consulta de genética médica muito esclarecedora.",Genética
Positivo,"Os rastreios oncológicos são feitos com a maior precisão.",Rastreios
Positivo,"Fui operado por robot Da Vinci. Tecnologia de ponta.",Cirurgia Robótica
Positivo,"O hospital tem um serviço de transplantes excelente.",Transplantes
